employee_id,day,time_slot,activity_id,name,max_daily_hours,activity_name,priority
E1,Tuesday,1,A1,Ana,8,Cashier,10
E1,Tuesday,2,A1,Ana,8,Cashier,10
E1,Tuesday,3,A1,Ana,8,Cashier,10
E1,Tuesday,4,A1,Ana,8,Cashier,10
E1,Wednesday,1,A1,Ana,8,Cashier,10
E1,Wednesday,2,A1,Ana,8,Cashier,10
E1,Wednesday,3,A1,Ana,8,Cashier,10
E1,Wednesday,4,A1,Ana,8,Cashier,10
E1,Wednesday,7,A3,Ana,8,Cleaning,5
E1,Wednesday,8,A3,Ana,8,Cleaning,5
E1,Sunday,3,A1,Ana,8,Cashier,10
E1,Sunday,4,A1,Ana,8,Cashier,10
E1,Sunday,8,A3,Ana,8,Cleaning,5
E3,Monday,1,A1,Pedro,8,Cashier,10
E3,Monday,2,A1,Pedro,8,Cashier,10
E3,Monday,3,A1,Pedro,8,Cashier,10
E3,Monday,4,A1,Pedro,8,Cashier,10
E3,Wednesday,1,A1,Pedro,8,Cashier,10
E3,Wednesday,2,A1,Pedro,8,Cashier,10
E3,Wednesday,3,A1,Pedro,8,Cashier,10
E3,Wednesday,4,A1,Pedro,8,Cashier,10
E3,Thursday,1,A1,Pedro,8,Cashier,10
E3,Thursday,3,A2,Pedro,8,Stocking,7
E3,Thursday,4,A2,Pedro,8,Stocking,7
E3,Thursday,5,A2,Pedro,8,Stocking,7
E3,Thursday,6,A2,Pedro,8,Stocking,7
E3,Friday,2,A1,Pedro,8,Cashier,10
E3,Friday,3,A1,Pedro,8,Cashier,10
E3,Friday,4,A2,Pedro,8,Stocking,7
E3,Friday,5,A2,Pedro,8,Stocking,7
E3,Friday,6,A2,Pedro,8,Stocking,7
E3,Saturday,1,A1,Pedro,8,Cashier,10
E3,Saturday,2,A1,Pedro,8,Cashier,10
E3,Saturday,3,A1,Pedro,8,Cashier,10
E3,Saturday,4,A1,Pedro,8,Cashier,10
E4,Monday,1,A1,Sofia,7,Cashier,10
E4,Monday,2,A1,Sofia,7,Cashier,10
E4,Monday,3,A1,Sofia,7,Cashier,10
E4,Monday,4,A1,Sofia,7,Cashier,10
E4,Monday,7,A3,Sofia,7,Cleaning,5
E4,Tuesday,3,A1,Sofia,7,Cashier,10
E4,Tuesday,4,A1,Sofia,7,Cashier,10
E4,Tuesday,8,A3,Sofia,7,Cleaning,5
E4,Thursday,2,A1,Sofia,7,Cashier,10
E4,Thursday,3,A1,Sofia,7,Cashier,10
E4,Thursday,4,A1,Sofia,7,Cashier,10
E4,Thursday,7,A3,Sofia,7,Cleaning,5
E4,Thursday,8,A3,Sofia,7,Cleaning,5
E4,Friday,1,A1,Sofia,7,Cashier,10
E4,Friday,2,A1,Sofia,7,Cashier,10
E4,Friday,3,A1,Sofia,7,Cashier,10
E4,Friday,4,A1,Sofia,7,Cashier,10
E4,Friday,7,A3,Sofia,7,Cleaning,5
E4,Friday,8,A3,Sofia,7,Cleaning,5
E4,Sunday,1,A1,Sofia,7,Cashier,10
E4,Sunday,2,A1,Sofia,7,Cashier,10
E4,Sunday,3,A1,Sofia,7,Cashier,10
E4,Sunday,4,A1,Sofia,7,Cashier,10
E5,Monday,3,A2,Carlos,6,Stocking,7
E5,Monday,4,A2,Carlos,6,Stocking,7
E5,Monday,5,A2,Carlos,6,Stocking,7
E5,Monday,6,A2,Carlos,6,Stocking,7
E5,Monday,8,A3,Carlos,6,Cleaning,5
E6,Tuesday,1,A1,Maria,8,Cashier,10
E6,Tuesday,2,A1,Maria,8,Cashier,10
E6,Tuesday,3,A2,Maria,8,Stocking,7
E6,Tuesday,4,A2,Maria,8,Stocking,7
E6,Tuesday,5,A2,Maria,8,Stocking,7
E6,Tuesday,6,A2,Maria,8,Stocking,7
E6,Tuesday,7,A3,Maria,8,Cleaning,5
E6,Wednesday,3,A2,Maria,8,Stocking,7
E6,Wednesday,4,A2,Maria,8,Stocking,7
E6,Wednesday,5,A2,Maria,8,Stocking,7
E6,Wednesday,6,A2,Maria,8,Stocking,7
E6,Thursday,1,A1,Maria,8,Cashier,10
E6,Thursday,2,A1,Maria,8,Cashier,10
E6,Thursday,3,A1,Maria,8,Cashier,10
E6,Thursday,4,A1,Maria,8,Cashier,10
E6,Saturday,1,A1,Maria,8,Cashier,10
E6,Saturday,2,A1,Maria,8,Cashier,10
E6,Saturday,3,A1,Maria,8,Cashier,10
E6,Saturday,4,A1,Maria,8,Cashier,10
E6,Saturday,7,A3,Maria,8,Cleaning,5
E6,Saturday,8,A3,Maria,8,Cleaning,5
E6,Sunday,1,A1,Maria,8,Cashier,10
E6,Sunday,2,A1,Maria,8,Cashier,10
E6,Sunday,3,A2,Maria,8,Stocking,7
E6,Sunday,4,A2,Maria,8,Stocking,7
E6,Sunday,5,A2,Maria,8,Stocking,7
E6,Sunday,6,A2,Maria,8,Stocking,7
E6,Sunday,7,A3,Maria,8,Cleaning,5
E7,Friday,1,A1,Jorge,7,Cashier,10
E7,Friday,3,A2,Jorge,7,Stocking,7
E7,Friday,4,A1,Jorge,7,Cashier,10
E8,Saturday,3,A2,Valeria,6,Stocking,7
E8,Saturday,4,A2,Valeria,6,Stocking,7
E8,Saturday,5,A2,Valeria,6,Stocking,7
E8,Saturday,6,A2,Valeria,6,Stocking,7
